iter	Passed	Remaining
0	454	454134
1	456	227640
2	457	152134
3	459	114345
4	460	91674
5	462	76577
6	463	65738
7	464	57602
8	465	51283
9	468	46396
10	470	42278
11	471	38817
12	472	35883
13	473	33375
14	475	31206
15	476	29291
16	477	27610
17	478	26117
18	479	24777
19	482	23650
20	483	22562
21	485	21563
22	486	20653
23	487	19816
24	488	19048
25	489	18335
26	490	17688
27	492	17095
28	494	16543
29	496	16068
30	498	15590
31	500	15126
32	501	14690
33	502	14281
34	503	13894
35	505	13530
36	506	13187
37	508	12861
38	509	12554
39	510	12262
40	512	11978
41	513	11711
42	514	11458
43	516	11211
44	517	10982
45	518	10758
46	519	10543
47	521	10338
48	524	10170
49	525	9982
50	526	9800
51	527	9623
52	529	9452
53	530	9289
54	531	9133
55	532	8981
56	534	8837
57	535	8697
58	538	8581
59	539	8454
60	541	8328
61	542	8203
62	543	8083
63	544	7969
64	546	7857
65	547	7749
66	548	7642
67	550	7540
68	551	7443
69	553	7359
70	555	7265
71	556	7173
72	557	7084
73	559	6996
74	560	6910
75	561	6826
76	562	6744
77	563	6663
78	564	6586
79	568	6537
80	569	6464
81	571	6393
82	571	6317
83	572	6247
84	574	6179
85	575	6112
86	580	6090
87	584	6056
88	586	5999
89	587	5941
90	589	5886
91	591	5834
92	592	5778
93	593	5723
94	595	5668
95	597	5630
96	599	5578
97	600	5529
98	602	5483
99	604	5436
100	605	5387
101	606	5339
102	607	5294
103	609	5248
104	610	5205
105	612	5168
106	614	5130
107	615	5086
108	616	5042
109	617	5000
110	619	4958
111	620	4916
112	621	4877
113	622	4837
114	623	4798
115	624	4759
116	626	4725
117	628	4694
118	629	4659
119	630	4624
120	631	4589
121	632	4553
122	634	4521
123	635	4488
124	636	4456
125	637	4423
126	638	4389
127	639	4357
128	643	4343
129	644	4313
130	645	4282
131	646	4252
132	647	4223
133	649	4194
134	650	4166
135	651	4138
136	652	4110
137	653	4083
138	655	4059
139	658	4042
140	659	4015
141	659	3987
142	661	3961
143	662	3936
144	663	3910
145	664	3886
146	665	3862
147	666	3837
148	667	3813
149	668	3789
150	672	3780
151	673	3756
152	679	3759
153	680	3737
154	681	3715
155	682	3693
156	683	3672
157	685	3652
158	687	3637
159	688	3617
160	689	3594
161	690	3573
162	691	3553
163	693	3533
164	694	3513
165	695	3493
166	696	3474
167	697	3454
168	698	3435
169	702	3428
170	703	3410
171	704	3391
172	705	3373
173	706	3354
174	707	3336
175	708	3318
176	709	3301
177	711	3283
178	712	3267
179	713	3250
180	716	3242
181	717	3226
182	719	3210
183	720	3194
184	721	3178
185	722	3163
186	724	3148
187	725	3133
188	726	3117
189	727	3102
190	728	3087
191	731	3076
192	732	3061
193	733	3047
194	734	3032
195	735	3018
196	736	3003
197	737	2989
198	739	2974
199	740	2960
200	741	2946
201	742	2933
202	745	2927
203	746	2914
204	748	2901
205	749	2887
206	750	2874
207	751	2861
208	752	2848
209	753	2835
210	754	2822
211	756	2813
212	762	2816
213	763	2804
214	764	2792
215	765	2779
216	766	2767
217	768	2755
218	769	2743
219	770	2730
220	771	2719
221	772	2707
222	774	2697
223	776	2689
224	777	2677
225	778	2666
226	779	2655
227	780	2643
228	782	2632
229	783	2621
230	784	2611
231	785	2600
232	786	2589
233	787	2578
234	790	2574
235	791	2563
236	793	2553
237	794	2542
238	795	2531
239	796	2521
240	797	2511
241	798	2501
242	799	2491
243	801	2481
244	802	2471
245	805	2467
246	806	2457
247	807	2447
248	808	2437
249	809	2428
250	810	2418
251	811	2408
252	812	2399
253	813	2389
254	814	2380
255	815	2371
256	816	2361
257	819	2356
258	820	2348
259	822	2340
260	823	2331
261	824	2323
262	826	2315
263	827	2307
264	828	2298
265	829	2289
266	830	2280
267	831	2272
268	835	2269
269	836	2260
270	837	2252
271	838	2243
272	839	2235
273	840	2227
274	841	2218
275	842	2210
276	843	2202
277	844	2194
278	845	2186
279	847	2178
280	851	2177
281	852	2170
282	854	2163
283	855	2156
284	856	2149
285	857	2141
286	858	2133
287	860	2126
288	861	2119
289	864	2116
290	865	2109
291	866	2101
292	868	2095
293	869	2087
294	870	2080
295	871	2073
296	872	2065
297	873	2058
298	875	2051
299	876	2044
300	879	2042
301	880	2035
302	881	2028
303	883	2021
304	884	2014
305	885	2007
306	886	2001
307	887	1994
308	888	1987
309	889	1980
310	890	1973
311	893	1971
312	895	1964
313	896	1958
314	897	1951
315	898	1945
316	899	1938
317	900	1931
318	901	1925
319	903	1918
320	904	1912
321	905	1906
322	906	1900
323	908	1895
324	909	1889
325	911	1884
326	912	1877
327	913	1872
328	915	1866
329	916	1860
330	917	1854
331	918	1848
332	919	1842
333	922	1840
334	924	1834
335	925	1828
336	926	1822
337	927	1816
338	933	1819
339	934	1813
340	935	1807
341	939	1807
342	940	1801
343	941	1795
